1. Category: Virtual Machines, 		  Name: F2/F2s Low Priority, 		 Rate: 0.077000, 		 Region: US West 2 
2. Category: Virtual Machines, 		  Name: M32s Low Priority, 		 Rate: 1.209000, 		 Region: AP East 
3. Category: Virtual Machines, 		  Name: A6, 		 Rate: 0.640000, 		 Region: AP Southeast 
4. Category: Virtual Machines, 		  Name: A8m v2 Low Priority, 		 Rate: 0.183000, 		 Region: BR South 
5. Category: Virtual Machines, 		  Name: L32s Low Priority, 		 Rate: 0.598000, 		 Region: AP Southeast 
6. Category: Virtual Machines, 		  Name: D3 v2/DS3 v2 - Expired, 		 Rate: 0.588000, 		 Region: FR Central 
7. Category: Virtual Machines, 		  Name: D2 v2/DS2 v2 Low Priority, 		 Rate: 0.147500, 		 Region: AU Central 2 
8. Category: Virtual Machines, 		  Name: E2 v3/E2s v3, 		 Rate: 0.248000, 		 Region: FR Central 
9. Category: Virtual Machines, 		  Name: A8 v2 Low Priority, 		 Rate: 0.350000, 		 Region: AU Central 2 
10. Category: Virtual Machines, 		  Name: A4 Low Priority, 		 Rate: 0.092800, 		 Region: AU East 
11. Category: Virtual Machines, 		  Name: M64ls, 		 Rate: 8.359000, 		 Region: US East 
12. Category: Virtual Machines, 		  Name: M16s, 		 Rate: 2.864000, 		 Region: US South Central 
13. Category: Virtual Machines, 		  Name: A6, 		 Rate: 0.545000, 		 Region: US Gov AZ 
14. Category: Virtual Machines, 		  Name: M128ms, 		 Rate: 48.372000, 		 Region: AU Central 2 
15. Category: Virtual Machines, 		  Name: M8ms Low Priority, 		 Rate: 1.461600, 		 Region: AU East 
16. Category: Virtual Machines, 		  Name: B2ms, 		 Rate: 0.107000, 		 Region: US West 
17. Category: Virtual Machines, 		  Name: NV12s v2, 		 Rate: 1.534000, 		 Region: US West 
18. Category: Virtual Machines, 		  Name: B2s, 		 Rate: 0.060000, 		 Region: US Gov 
19. Category: Virtual Machines, 		  Name: D2 v2/DS2 v2 Low Priority, 		 Rate: 0.028000, 		 Region: CA East 
20. Category: Virtual Machines, 		  Name: D3 v2/DS3 v2 Low Priority, 		 Rate: 0.261000, 		 Region: UK South 
21. Category: Virtual Machines, 		  Name: A2 Low Priority, 		 Rate: 0.024000, 		 Region: US Central 
22. Category: Virtual Machines, 		  Name: D4 v2/DS4 v2 - Expired, 		 Rate: 0.623000, 		 Region: AU Southeast 
23. Category: Virtual Machines, 		  Name: A2, 		 Rate: 0.198000, 		 Region: UK South 
24. Category: Virtual Machines, 		  Name: E32 v3/E32s v3, 		 Rate: 3.808000, 		 Region: CA East 
25. Category: Virtual Machines, 		  Name: E16 v3/E16s v3 Low Priority, 		 Rate: 0.250000, 		 Region: UK West 
26. Category: Virtual Machines, 		  Name: D14/DS14, 		 Rate: 1.387000, 		 Region: US East 2 
27. Category: Virtual Machines, 		  Name: A2, 		 Rate: 0.099600, 		 Region: US Gov 
28. Category: Virtual Machines, 		  Name: G1/GS1, 		 Rate: 0.610000, 		 Region: US Gov 
29. Category: Virtual Machines, 		  Name: ND6s Low Priority, 		 Rate: 0.867000, 		 Region: US West 2 
30. Category: Virtual Machines, 		  Name: D14 v2/DS14 v2 Low Priority, 		 Rate: 0.945000, 		 Region: AU Southeast 
31. Category: Virtual Machines, 		  Name: H8 Low Priority, 		 Rate: 0.181000, 		 Region: US East 
